,Unnamed: 0,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,lat,lng,tweet,urls,hashtags,language,mentions,photos,replies_count,retweets_count,likes_count,cashtags,link,retweet,quote_url,video,thumbnail,sentiment
2796,2796,17875665392048350,-7943909199227015279,2020-12-24 16:40:25,2020-12-24 00:00:00,16:40:25,,229013223,newyorkbloodcenter,,,,,"And to you, too!  Thanks for the lives you save <3",[],[],,[],,0,0,0,[],https://instagram.com,True,,0,,0.6
8115,4456,17875683790341248,4817930698980539940,2019-04-11 13:27:47,2019-04-11 00:00:00,13:27:47,,229013223,newyorkbloodcenter,,,,,"…
.
.
.
.
#newyorkbloodcenter #donateblood #blooddonor #nyc #nyclife #newyork #ny #newyorker #newyorklife #newyorklike #volunteering #volunteer",[],"['newyorkbloodcenter', 'donateblood', 'blooddonor', 'nyc', 'nyclife', 'newyork', 'ny', 'newyorker', 'newyorklife', 'newyorklike', 'volunteering', 'volunteer']",,[],,0,0,0,[],https://instagram.com,True,,0,,0.0
5484,1825,18114133348173372,7243893229964270441,2020-12-27 00:39:08,2020-12-27 00:00:00,00:39:08,,229013223,newyorkbloodcenter,,,,,"pimawest, Thank you for the mention and for the lives you save. See you in the New Year at Saint John the Divine!",[],[],,[],,0,0,0,[],https://instagram.com,True,,0,,0.17045454545454544
8485,4826,18064244029037220,2823064270089188123,2019-05-08 19:27:07,2019-05-08 00:00:00,19:27:07,,229013223,newyorkbloodcenter,,,,,"…
.
.
.
.
#newyorkbloodcenter #donateblood #blooddonor #nyc #nyclife #newyork #ny #newyorker #newyorklife #newyorklike",[],"['newyorkbloodcenter', 'donateblood', 'blooddonor', 'nyc', 'nyclife', 'newyork', 'ny', 'newyorker', 'newyorklife', 'newyorklike']",,[],,0,0,0,[],https://instagram.com,True,,0,,0.0
8479,4820,18008463685212800,2746068314216538846,2019-06-17 20:14:24,2019-06-17 00:00:00,20:14:24,,229013223,newyorkbloodcenter,,,,,"…
.
.
.
.
#newyorkbloodcenter #donateblood #blooddonor #nyc #nyclife #newyork #ny #newyorker #newyorklife #newyorklike",[],"['newyorkbloodcenter', 'donateblood', 'blooddonor', 'nyc', 'nyclife', 'newyork', 'ny', 'newyorker', 'newyorklife', 'newyorklike']",,[],,0,0,0,[],https://instagram.com,True,,0,,0.0
8477,4818,18051604933155828,3293474227345003837,2019-07-29 15:59:07,2019-07-29 00:00:00,15:59:07,,229013223,newyorkbloodcenter,,,,,"…
.
.
.
.
#newyorkbloodcenter #donateblood #blooddonor #nyc #nyclife #newyork #ny #newyorker #newyorklife #newyorklike #donateblood #giveblood #blooddonation #donatingblood #blooddonors #zombie #zombies",[],"['newyorkbloodcenter', 'donateblood', 'blooddonor', 'nyc', 'nyclife', 'newyork', 'ny', 'newyorker', 'newyorklife', 'newyorklike', 'donateblood', 'giveblood', 'blooddonation', 'donatingblood', 'blooddonors', 'zombie', 'zombies']",,[],,0,0,0,[],https://instagram.com,True,,0,,0.0
8475,4816,18060301576187640,3293474227345003837,2019-08-01 13:25:18,2019-08-01 00:00:00,13:25:18,,229013223,newyorkbloodcenter,,,,,"@joe_francavilla We absolutely understand your frustration and strive to treat every blood donor with fairness, equality and respect. Please know that this rule is not exclusive to this blood center. We must adhere to FDA guidelines at all times for both donor and patient safety. All U.S. blood centers must follow this federal requirement. You can learn more about the regulation here bit.ly/FDA_Deferral and more about the revision of FDA recommendations here bit.ly/FDA_RecommendedRevisions",[],[],,[],,1,0,0,[],https://instagram.com,True,,0,,0.275
8472,4813,18058953517101596,6838790678013234885,2019-06-14 14:49:10,2019-06-14 00:00:00,14:49:10,,229013223,newyorkbloodcenter,,,,,"…
.
.
.
.
#newyorkbloodcenter #donateblood #blooddonor #nyc #nyclife #newyork #ny #newyorker #newyorklife #newyorklike #🗽 #newyorkgram",[],"['newyorkbloodcenter', 'donateblood', 'blooddonor', 'nyc', 'nyclife', 'newyork', 'ny', 'newyorker', 'newyorklife', 'newyorklike', 'newyorkgram']",,[],,0,0,0,[],https://instagram.com,True,,0,,0.0
6683,3024,17846957642068444,1935676761021854563,2020-04-24 14:18:48,2020-04-24 00:00:00,14:18:48,,229013223,newyorkbloodcenter,,,,,"Thank you for supporting our mission, and encouraging our communities to #donatecovidplasma 💪🩸",[],['donatecovidplasma'],,[],,0,0,0,[],https://instagram.com,True,,0,,0.25
5512,1853,18132246844146460,-1022468183063355771,2021-01-02 13:27:31,2021-01-02 00:00:00,13:27:31,,229013223,newyorkbloodcenter,,,,,Edward thank you....a safe and healthy New Year to you and your family!,[],[],,[],,0,0,0,[],https://instagram.com,True,,0,,0.39015151515151514
